Order2018	Action	Code	Description
51373	Revise from	S62.650G	"Nondisplaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with delayed healing"
51373	Revise to	S62.650G	"Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with delayed healing"
51374	Revise from	S62.650K	"Nondisplaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with nonunion"
51374	Revise to	S62.650K	"Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with nonunion"
51375	Revise from	S62.650P	"Nondisplaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with malunion"
51375	Revise to	S62.650P	"Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with malunion"
51376	Revise from	S62.650S	"Nondisplaced fracture of medial phalanx of right index finger, sequela"
51376	Revise to	S62.650S	"Nondisplaced fracture of middle phalanx of right index finger, sequela"
51380	Revise from	S62.651D	"Nondisplaced fracture of medial phalanx of left index finger, subsequent encounter for fracture with routine healing"
51380	Revise to	S62.651D	"Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with routine healing"
51381	Revise from	S62.651G	"Nondisplaced fracture of medial phalanx of left index finger, subsequent encounter for fracture with delayed healing"
51381	Revise to	S62.651G	"Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with delayed healing"
51382	Revise from	S62.651K	"Nondisplaced fracture of medial phalanx of left index finger, subsequent encounter for fracture with nonunion"
51382	Revise to	S62.651K	"Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with nonunion"
51383	Revise from	S62.651P	"Nondisplaced fracture of medial phalanx of left index finger, subsequent encounter for fracture with malunion"
51383	Revise to	S62.651P	"Nondisplaced fracture of middle phalanx of left index finger, subsequent encounter for fracture with malunion"
51384	Revise from	S62.651S	"Nondisplaced fracture of medial phalanx of left index finger, sequela"
51384	Revise to	S62.651S	"Nondisplaced fracture of middle phalanx of left index finger, sequela"
51388	Revise from	S62.652D	"Nondisplaced fracture of medial phalanx of right middle finger, subsequent encounter for fracture with routine healing"
51388	Revise to	S62.652D	"Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with routine healing"
51389	Revise from	S62.652G	"Nondisplaced fracture of medial phalanx of right middle finger, subsequent encounter for fracture with delayed healing"
51389	Revise to	S62.652G	"Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with delayed healing"
51390	Revise from	S62.652K	"Nondisplaced fracture of medial phalanx of right middle finger, subsequent encounter for fracture with nonunion"
51390	Revise to	S62.652K	"Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with nonunion"
51391	Revise from	S62.652P	"Nondisplaced fracture of medial phalanx of right middle finger, subsequent encounter for fracture with malunion"
51391	Revise to	S62.652P	"Nondisplaced fracture of middle phalanx of right middle finger, subsequent encounter for fracture with malunion"
51392	Revise from	S62.652S	"Nondisplaced fracture of medial phalanx of right middle finger, sequela"
51392	Revise to	S62.652S	"Nondisplaced fracture of middle phalanx of right middle finger, sequela"
51396	Revise from	S62.653D	"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with routine healing"
51396	Revise to	S62.653D	"Nondisplaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with routine healing"
51397	Revise from	S62.653G	"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with delayed healing"
51397	Revise to	S62.653G	"Nondisplaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with delayed healing"
51398	Revise from	S62.653K	"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with nonunion"
51398	Revise to	S62.653K	"Nondisplaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with nonunion"
51399	Revise from	S62.653P	"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with malunion"
51399	Revise to	S62.653P	"Nondisplaced fracture of middle phalanx of left middle finger, subsequent encounter for fracture with malunion"
51400	Revise from	S62.653S	"Nondisplaced fracture of medial phalanx of left middle finger, sequela"
51400	Revise to	S62.653S	"Nondisplaced fracture of middle phalanx of left middle finger, sequela"
51836	Revise from	S63.121D	"Subluxation of unspecified interphalangeal joint of right thumb, subsequent encounter"
51836	Revise to	S63.121D	"Subluxation of interphalangeal joint of right thumb, subsequent encounter"
51837	Revise from	S63.121S	"Subluxation of unspecified interphalangeal joint of right thumb, sequela"
51837	Revise to	S63.121S	"Subluxation of interphalangeal joint of right thumb, sequela"
51840	Revise from	S63.122D	"Subluxation of unspecified interphalangeal joint of left thumb, subsequent encounter"
51840	Revise to	S63.122D	"Subluxation of interphalangeal joint of left thumb, subsequent encounter"
51841	Revise from	S63.122S	"Subluxation of unspecified interphalangeal joint of left thumb, sequela"
51841	Revise to	S63.122S	"Subluxation of interphalangeal joint of left thumb, sequela"
51844	Revise from	S63.123D	"Subluxation of unspecified interphalangeal joint of unspecified thumb, subsequent encounter"
51844	Revise to	S63.123D	"Subluxation of interphalangeal joint of unspecified thumb, subsequent encounter"
51845	Revise from	S63.123S	"Subluxation of unspecified interphalangeal joint of unspecified thumb, sequela"
51845	Revise to	S63.123S	"Subluxation of interphalangeal joint of unspecified thumb, sequela"
51848	Revise from	S63.124D	"Dislocation of unspecified interphalangeal joint of right thumb, subsequent encounter"
51848	Revise to	S63.124D	"Dislocation of interphalangeal joint of right thumb, subsequent encounter"
51849	Revise from	S63.124S	"Dislocation of unspecified interphalangeal joint of right thumb, sequela"
51849	Revise to	S63.124S	"Dislocation of interphalangeal joint of right thumb, sequela"
51852	Revise from	S63.125D	"Dislocation of unspecified interphalangeal joint of left thumb, subsequent encounter"
51852	Revise to	S63.125D	"Dislocation of interphalangeal joint of left thumb, subsequent encounter"
51853	Revise from	S63.125S	"Dislocation of unspecified interphalangeal joint of left thumb, sequela"
51853	Revise to	S63.125S	"Dislocation of interphalangeal joint of left thumb, sequela"
51856	Revise from	S63.126D	"Dislocation of unspecified interphalangeal joint of unspecified thumb, subsequent encounter"
51856	Revise to	S63.126D	"Dislocation of interphalangeal joint of unspecified thumb, subsequent encounter"
51857	Revise from	S63.126S	"Dislocation of unspecified interphalangeal joint of unspecified thumb, sequela"
51857	Revise to	S63.126S	"Dislocation of interphalangeal joint of unspecified thumb, sequela"
66721	Revise from	S92.521D	"Displaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with routine healing"
66721	Revise to	S92.521D	"Displaced fracture of middle phalanx of right lesser toe(s), subsequent encounter for fracture with routine healing"
66722	Revise from	S92.521G	"Displaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with delayed healing"
66722	Revise to	S92.521G	"Displaced fracture of middle phalanx of right lesser toe(s), subsequent encounter for fracture with delayed healing"
66723	Revise from	S92.521K	"Displaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with nonunion"
66723	Revise to	S92.521K	"Displaced fracture of middle phalanx of right lesser toe(s), subsequent encounter for fracture with nonunion"
66724	Revise from	S92.521P	"Displaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with malunion"
66724	Revise to	S92.521P	"Displaced fracture of middle phalanx of right lesser toe(s), subsequent encounter for fracture with malunion"
66725	Revise from	S92.521S	"Displaced fracture of medial phalanx of right lesser toe(s), sequela"
66725	Revise to	S92.521S	"Displaced fracture of middle phalanx of right lesser toe(s), sequela"
66729	Revise from	S92.522D	"Displaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with routine healing"
66729	Revise to	S92.522D	"Displaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with routine healing"
66730	Revise from	S92.522G	"Displaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with delayed healing"
66730	Revise to	S92.522G	"Displaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with delayed healing"
66731	Revise from	S92.522K	"Displaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with nonunion"
66731	Revise to	S92.522K	"Displaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with nonunion"
66732	Revise from	S92.522P	"Displaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with malunion"
66732	Revise to	S92.522P	"Displaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with malunion"
66733	Revise from	S92.522S	"Displaced fracture of medial phalanx of left lesser toe(s), sequela"
66733	Revise to	S92.522S	"Displaced fracture of middle phalanx of left lesser toe(s), sequela"
66737	Revise from	S92.523D	"Displaced fracture of medial phalanx of unspecified lesser toe(s), subsequent encounter for fracture with routine healing"
66737	Revise to	S92.523D	"Displaced fracture of middle phalanx of unspecified lesser toe(s), subsequent encounter for fracture with routine healing"
66738	Revise from	S92.523G	"Displaced fracture of medial phalanx of unspecified lesser toe(s), subsequent encounter for fracture with delayed healing"
66738	Revise to	S92.523G	"Displaced fracture of middle phalanx of unspecified lesser toe(s), subsequent encounter for fracture with delayed healing"
66739	Revise from	S92.523K	"Displaced fracture of medial phalanx of unspecified lesser toe(s), subsequent encounter for fracture with nonunion"
66739	Revise to	S92.523K	"Displaced fracture of middle phalanx of unspecified lesser toe(s), subsequent encounter for fracture with nonunion"
66740	Revise from	S92.523P	"Displaced fracture of medial phalanx of unspecified lesser toe(s), subsequent encounter for fracture with malunion"
66740	Revise to	S92.523P	"Displaced fracture of middle phalanx of unspecified lesser toe(s), subsequent encounter for fracture with malunion"
66741	Revise from	S92.523S	"Displaced fracture of medial phalanx of unspecified lesser toe(s), sequela"
66741	Revise to	S92.523S	"Displaced fracture of middle phalanx of unspecified lesser toe(s), sequela"
66745	Revise from	S92.524D	"Nondisplaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with routine healing"
66745	Revise to	S92.524D	"Nondisplaced fracture of middle phalanx of right lesser toe(s), subsequent encounter for fracture with routine healing"
66746	Revise from	S92.524G	"Nondisplaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with delayed healing"
66746	Revise to	S92.524G	"Nondisplaced fracture of middle phalanx of right lesser toe(s), subsequent encounter for fracture with delayed healing"
66747	Revise from	S92.524K	"Nondisplaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with nonunion"
66747	Revise to	S92.524K	"Nondisplaced fracture of middle phalanx of right lesser toe(s), subsequent encounter for fracture with nonunion"
66748	Revise from	S92.524P	"Nondisplaced fracture of medial phalanx of right lesser toe(s), subsequent encounter for fracture with malunion"
66748	Revise to	S92.524P	"Nondisplaced fracture of middle phalanx of right lesser toe(s), subsequent encounter for fracture with malunion"
66749	Revise from	S92.524S	"Nondisplaced fracture of medial phalanx of right lesser toe(s), sequela"
66749	Revise to	S92.524S	"Nondisplaced fracture of middle phalanx of right lesser toe(s), sequela"
66753	Revise from	S92.525D	"Nondisplaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with routine healing"
66753	Revise to	S92.525D	"Nondisplaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with routine healing"
66754	Revise from	S92.525G	"Nondisplaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with delayed healing"
66754	Revise to	S92.525G	"Nondisplaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with delayed healing"
66755	Revise from	S92.525K	"Nondisplaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with nonunion"
66755	Revise to	S92.525K	"Nondisplaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with nonunion"
66756	Revise from	S92.525P	"Nondisplaced fracture of medial phalanx of left lesser toe(s), subsequent encounter for fracture with malunion"
66756	Revise to	S92.525P	"Nondisplaced fracture of middle phalanx of left lesser toe(s), subsequent encounter for fracture with malunion"
66757	Revise from	S92.525S	"Nondisplaced fracture of medial phalanx of left lesser toe(s), sequela"
